Designated_Use	ScreenType	Region	Sample_Type	Aluminum	Antimony	Arsenic	Barium	Beryllium	Cadmium	Calcium	Chromium	Cobalt	Copper	Iron	Lead	Magnesium	Manganese	Mercury	Molybdenum	Nickel	Potassium	Selenium	Silver	Sodium	Thallium	Vanadium	Zinc
Domestic Use	Domestic Supply 1-Day	Colorado	Total				1		0.005		0.05				0.05			0.002					0.1				
Agricultural Use	Agriculture	Colorado	Total			0.1		0.1	0.01		0.1		0.2		0.1		0.2		0.3	0.2		0.02					2
Aquatic Acute	Aquatic Acute	Colorado	Total																								
Aquatic Chronic	Aquatic Chronic	Colorado	Total											1				0.00001									
Domestic Use	Domestic Water Supply	Navajo Nation	Total		0.0056	0.01	1	0.004	0.005		0.1		1.3		0.015			0.002		0.61		0.05	0.035		0.002		2.1
Human Contact	Primary Human Contact	Navajo Nation	Total		0.37	0.03	98	1.87	0.47				9.33		0.015			0.28		18.67		4.67	4.67		0.075		280
Human Contact	Secondary Human Contact	Navajo Nation	Total		0.37	0.28	98	1.87	0.47				9.33		0.015			0.28		18.67		4.67	4.67		0.075		280
Agricultural Use	Agricultural Supply	Navajo Nation	Total			2			0.05		1				10							0.02					10
Livestock	Livestock Watering	Navajo Nation	Total			0.2			0.05		1				0.1							0.05					25
Aquatic Acute	Aquatic Acute	Navajo Nation	Total	0.75														0.0024				0.033					
Aquatic Chronic	Aquatic Chronic	Navajo Nation	Total	0.087														0.000001				0.002					
Domestic Use	Domestic Supply	New Mexico	Total															0.002									
Agricultural Use	Irrigation	New Mexico	Total																								
Livestock	Livestock	New Mexico	Total															0.01									
Livestock	Wildlife Habitat	New Mexico	Total															0.00077				0.005					
Aquatic Acute	Aquatic Acute	New Mexico	Total																7.92			0.02					
Aquatic Chronic	Aquatic Chronic	New Mexico	Total																1.895			0.005					
Human Contact	Recreational	Region 6	Total																								
Agricultural Use	Irrigation	Region 6	Total																								
Livestock	Livestock	Region 6	Total																								
Aquatic Acute	Aquatic Acute	Region 6	Total																								
Aquatic Chronic	Aquatic Chronic	Region 6	Total																								
Agricultural Use	Revised Ag Water Supply	Region 9	Total																								
Livestock	Livestock Updated	Region 9	Total																								
Aquatic Acute	Aquatic Acute	Region 9	Total																								
Aquatic Chronic	Aquatic Chronic	Region 9	Total																								
Domestic Use	Domestic Source	Utah	Total																								
Human Contact	Recreational Screening	Utah	Total	620.767	0.248	0.186	124.159	1.242	0.062		0.41	7.931	6.208	851.582	0.91		31.04	1.242	3.104	17.48		3.104	3.64		0.025	6.208	217.786
Agricultural Use	Irrigation (short-term)	Utah	Total																								
Agricultural Use	Irrigation (long-term)	Utah	Total																								
Agricultural Use	Agricultural Uses	Utah	Total																								
Livestock	Livestock	Utah	Total																								
Aquatic Acute	Aquatic Acute	Utah	Total																								
Aquatic Chronic	Aquatic Chronic	Utah	Total																								
